VALUE,BPS_NAME,CLASSNAMES,Freq,REL_PERCENT,ACRES
13,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Deciduous Forest,4656,0.030163476,1033.632
14,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Evergreen Forest,51060,0.330787599,11335.32
15,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Mixed Forest,11539,0.074754369,2561.658
16,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Herbaceous,3031,0.01963606,672.882
17,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Upland Shrubland,11911,0.077164338,2644.242
22,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Low Intensity,16589,0.107470338,3682.758
23,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Medium Intensity,11972,0.077559521,2657.784
24,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-High Intensity,5024,0.03254753,1115.328
25,Southern Rocky Mountain Ponderosa Pine Woodland,Developed-Roads,165210,1.070298066,36676.62
32,Southern Rocky Mountain Ponderosa Pine Woodland,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,2802,0.018152504,622.044
63,Southern Rocky Mountain Ponderosa Pine Woodland,NASS-Row Crop-Close Grown Crop,1,6.47841E-06,0.222
64,Southern Rocky Mountain Ponderosa Pine Woodland,NASS-Row Crop,2,1.29568E-05,0.444
100,Southern Rocky Mountain Ponderosa Pine Woodland,Sparse Vegetation Canopy,45408,0.294171627,10080.576
110,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 10%,153114,0.991935222,33991.308
111,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 11%,59187,0.383437635,13139.514
112,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 12%,70544,0.457012934,15660.768
113,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 13%,80237,0.519808159,17812.614
114,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 14%,89300,0.578521986,19824.6
115,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 15%,275467,1.784588084,61153.674
116,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 16%,111436,0.721928063,24738.792
117,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 17%,121299,0.785824618,26928.378
118,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 18%,127035,0.822984776,28201.77
119,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 19%,131427,0.851437951,29176.794
120,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 20%,135323,0.876677835,30041.706
121,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 21%,142869,0.925563915,31716.918
122,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 22%,150369,0.974151988,33381.918
123,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 23%,157991,1.023530426,35074.002
124,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 24%,165290,1.070816339,36694.38
125,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 25%,692451,4.485981272,153724.122
126,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 26%,185591,1.202334534,41201.202
127,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 27%,201730,1.306889588,44784.06
128,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 28%,221282,1.433555454,49124.604
129,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 29%,241219,1.562715508,53550.618
130,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 30%,264597,1.71416777,58740.534
131,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 31%,290821,1.884057586,64562.262
132,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 32%,317720,2.058320328,70533.84
133,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 33%,344550,2.232136061,76490.1
134,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 34%,366826,2.376449115,81435.372
135,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 35%,847002,5.487225969,188034.444
136,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 36%,395688,2.563428976,87842.736
137,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 37%,402605,2.608240135,89378.31
138,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 38%,407583,2.640489659,90483.426
139,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 39%,444214,2.877800284,98615.508
140,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 40%,408097,2.643819562,90597.534
141,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 41%,414040,2.68232075,91916.88
142,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 42%,415210,2.68990049,92176.62
143,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 43%,410349,2.65840894,91097.478
144,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 44%,399271,2.586641118,88638.162
145,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 45%,1565042,10.13898327,347439.324
146,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 46%,349662,2.265253691,77624.964
147,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 47%,319082,2.067143922,70836.204
148,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 48%,286199,1.854114376,63536.178
149,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 49%,254891,1.651288326,56585.802
150,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 50%,225829,1.463012783,50134.038
151,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 51%,214107,1.387072865,47531.754
152,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 52%,176972,1.146497121,39287.784
153,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 53%,159768,1.03504256,35468.496
154,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 54%,135826,0.879936475,30153.372
155,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 55%,143226,0.927876707,31796.172
156,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 56%,102371,0.663201279,22726.362
157,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 57%,87761,0.568551713,19482.942
158,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 58%,292394,1.894248125,64911.468
159,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 59%,15213,0.098556047,3377.286
160,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 60%,13193,0.085469659,2928.846
161,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 61%,11240,0.072817325,2495.28
162,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 62%,9936,0.064369479,2205.792
163,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 63%,7756,0.050246546,1721.832
164,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 64%,6097,0.039498864,1353.534
165,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 65%,9884,0.064032601,2194.248
166,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 66%,6024,0.03902594,1337.328
167,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 67%,1591,0.01030715,353.202
168,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 68%,1923,0.012457982,426.906
169,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 69%,719,0.004657977,159.618
170,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 70%,502,0.003252162,111.444
171,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 71%,426,0.002759803,94.572
172,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 72%,1113,0.00721047,247.086
173,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 73%,26,0.000168439,5.772
174,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 74%,23,0.000149003,5.106
175,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 75%,351,0.002273922,77.922
176,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 76%,13,8.42193E-05,2.886
177,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 77%,5,3.2392E-05,1.11
178,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 78%,9,5.83057E-05,1.998
179,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 79%,4,2.59136E-05,0.888
180,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 80%,3,1.94352E-05,0.666
181,Southern Rocky Mountain Ponderosa Pine Woodland,Tree Cover = 81%,15,9.71761E-05,3.33
210,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 10%,1190,0.007709308,264.18
211,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 11%,2818,0.018256159,625.596
212,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 12%,5248,0.033998694,1165.056
213,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 13%,3199,0.020724433,710.178
214,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 14%,7209,0.046702855,1600.398
215,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 15%,6880,0.044571459,1527.36
216,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 16%,5660,0.036667799,1256.52
217,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 17%,3172,0.020549516,704.184
218,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 18%,3609,0.023380581,801.198
219,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 19%,4052,0.026250516,899.544
220,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 20%,5219,0.03381082,1158.618
221,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 21%,950,0.006154489,210.9
222,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 22%,7698,0.049870798,1708.956
223,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 23%,11052,0.071599384,2453.544
224,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 24%,15263,0.098879967,3388.386
225,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 25%,940,0.006089705,208.68
226,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 26%,20352,0.131848594,4518.144
227,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 27%,25457,0.164920876,5651.454
228,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 28%,29486,0.191022388,6545.892
229,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 29%,783,0.005072595,173.826
230,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 30%,30488,0.197513755,6768.336
231,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 31%,29954,0.194054284,6649.788
232,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 32%,27575,0.178642147,6121.65
233,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 33%,930,0.006024921,206.46
234,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 34%,24362,0.157827017,5408.364
235,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 35%,21489,0.139214546,4770.558
236,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 36%,19803,0.128291947,4396.266
237,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 37%,151,0.00097824,33.522
238,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 38%,12265,0.079457695,2722.83
239,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 39%,10855,0.070323137,2409.81
240,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 40%,10482,0.06790669,2327.004
241,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 41%,37,0.000239701,8.214
242,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 42%,8420,0.05454821,1869.24
243,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 43%,7674,0.049715316,1703.628
244,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 44%,121,0.000783888,26.862
245,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 45%,7111,0.046067971,1578.642
246,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 46%,6425,0.041623782,1426.35
247,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 47%,5460,0.035372117,1212.12
248,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 48%,51,0.000330399,11.322
249,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 49%,4520,0.029282412,1003.44
250,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 50%,3927,0.025440715,871.794
251,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 51%,3567,0.023108487,791.874
252,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 52%,14,9.06977E-05,3.108
253,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 53%,3542,0.022946527,786.324
254,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 54%,3537,0.022914135,785.214
255,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 55%,3314,0.02146945,735.708
256,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 56%,12,7.77409E-05,2.664
257,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 57%,2915,0.018884564,647.13
258,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 58%,2504,0.016221938,555.888
259,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 59%,1945,0.012600507,431.79
260,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 60%,9,5.83057E-05,1.998
261,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 61%,1445,0.009361302,320.79
262,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 62%,1032,0.006685719,229.104
263,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 63%,719,0.004657977,159.618
264,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 64%,2,1.29568E-05,0.444
265,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 65%,1008,0.006530237,223.776
266,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 66%,355,0.002299835,78.81
267,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 67%,2,1.29568E-05,0.444
268,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 68%,324,0.002099005,71.928
269,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 69%,270,0.001749171,59.94
270,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 70%,237,0.001535383,52.614
272,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 72%,189,0.001224419,41.958
273,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 73%,188,0.001217941,41.736
274,Southern Rocky Mountain Ponderosa Pine Woodland,Shrub Cover = 74%,637,0.004126747,141.414
310,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 10%,1394,0.009030903,309.468
311,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 11%,800,0.005182728,177.6
312,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 12%,789,0.005111465,175.158
313,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 13%,1014,0.006569107,225.108
314,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 14%,1688,0.010935556,374.736
315,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 15%,1414,0.009160471,313.908
316,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 16%,3681,0.023847026,817.182
317,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 17%,5046,0.032690055,1120.212
318,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 18%,3835,0.024844701,851.37
319,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 19%,7186,0.046553852,1595.292
320,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 20%,8514,0.05515718,1890.108
321,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 21%,6255,0.040522453,1388.61
322,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 22%,17194,0.111389776,3817.068
323,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 23%,12817,0.083033777,2845.374
324,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 24%,12830,0.083117996,2848.26
325,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 25%,14824,0.096035945,3290.928
326,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 26%,15861,0.102754056,3521.142
327,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 27%,12818,0.083040255,2845.596
328,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 28%,16021,0.103790602,3556.662
329,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 29%,15874,0.102838276,3524.028
330,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 30%,15116,0.097927641,3355.752
331,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 31%,14161,0.09174076,3143.742
332,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 32%,18659,0.120880647,4142.298
333,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 33%,4728,0.030629921,1049.616
334,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 34%,9984,0.064680442,2216.448
335,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 35%,267702,1.734283232,59429.844
336,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 36%,9388,0.06081931,2084.136
337,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 37%,8872,0.057476451,1969.584
338,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 38%,8496,0.055040569,1886.112
339,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 39%,782,0.005066116,173.604
340,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 40%,8128,0.052656514,1804.416
341,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 41%,7398,0.047927275,1642.356
342,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 42%,7491,0.048529767,1663.002
343,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 43%,7013,0.045433087,1556.886
344,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 44%,6784,0.043949531,1506.048
345,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 45%,18387,0.119118519,4081.914
346,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 46%,6513,0.042193882,1445.886
347,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 47%,6186,0.040075442,1373.292
348,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 48%,5905,0.038255009,1310.91
349,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 49%,5554,0.035981087,1232.988
350,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 50%,4802,0.031109323,1066.044
351,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 51%,43,0.000278572,9.546
352,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 52%,4413,0.028589222,979.686
353,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 53%,3910,0.025330582,868.02
354,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 54%,4523,0.029301847,1004.106
355,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 55%,16370,0.106051567,3634.14
356,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 56%,2325,0.015062303,516.15
357,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 57%,20,0.000129568,4.44
358,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 58%,1966,0.012736553,436.452
359,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 59%,1626,0.010533894,360.972
360,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 60%,1550,0.010041535,344.1
361,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 61%,1247,0.008078577,276.834
362,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 62%,990,0.006413626,219.78
363,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 63%,18,0.000116611,3.996
364,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 64%,906,0.005869439,201.132
365,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 65%,1811,0.0117324,402.042
366,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 66%,385,0.002494188,85.47
367,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 67%,338,0.002189702,75.036
368,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 68%,288,0.001865782,63.936
369,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 69%,3,1.94352E-05,0.666
370,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 70%,238,0.001541862,52.836
371,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 71%,522,0.00338173,115.884
372,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 72%,85,0.000550665,18.87
373,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 73%,44,0.00028505,9.768
374,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 74%,35,0.000226744,7.77
375,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 75%,4,2.59136E-05,0.888
376,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 76%,24,0.000155482,5.328
377,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 77%,17,0.000110133,3.774
378,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 78%,37,0.000239701,8.214
379,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 79%,1,6.47841E-06,0.222
382,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 82%,3,1.94352E-05,0.666
383,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 83%,1,6.47841E-06,0.222
385,Southern Rocky Mountain Ponderosa Pine Woodland,Herb Cover = 85%,1,6.47841E-06,0.222
